Title,Course Code,Instructor,Days,Time,Location,Description
"Group Studies, Seminars, or Group Research",MECENG 298,Thomas Schutzius,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Peter Hosemann,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
Individual Study or Research,MECENG 299,Alice M Agogino,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Mohammad-reza Alam,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Francesco Borrelli,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Van P Carey,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,James Casey,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Jyh-Yuan Chen,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Christopher Eric Dames,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Carlos Fernandez-Pello,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Michael Y Frenklach,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Costas P. Grigoropoulos,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Roberto Horowitz,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,George C Johnson,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Homayoon Kazerooni,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Tony M Keaveny,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Kyriakos Komvopoulos,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Dennis Kenmon Lieu,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Liwei Lin,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Fai Ma,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Simo Aleksi Makiharju,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Philip S Marcus,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Sara McMains,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Mohammad Reza Kaazem Pur Mofrad,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Stephen Morris,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Mark Wilfried Mueller,,,,Investigations of advanced problems in mechanical engineering.
Individual Study or Research,MECENG 299,Grace D O'Connell,,,,Investigations of advanced problems in mechanical engineering.
